label,x,y,z
1,-5,15,54
2,7,16,54
3,-18,24,53
4,22,26,51
5,-11,49,40
6,13,48,40
7,-18,-1,65
8,20,4,64
9,-6,-5,58
10,7,-4,60
11,-5,36,38
12,6,38,35
13,-8,56,15
14,8,58,13
15,-27,43,31
16,30,37,36
17,-42,13,36
18,42,11,39
19,-28,56,12
20,28,55,17
21,-41,41,16
22,42,44,14
23,-33,23,45
24,42,27,39
25,-32,4,55
26,34,8,54
27,-26,60,-6
28,25,61,-4
29,-46,13,24
30,45,16,25
31,-47,32,14
32,48,35,13
33,-53,23,11
34,54,24,12
35,-49,36,-3
36,51,36,-1
37,-39,23,4
38,42,22,3
39,-52,13,6
40,54,14,11
41,-7,54,-7
42,6,47,-7
43,-36,33,-16
44,40,39,-14
45,-23,38,-18
46,23,36,-18
47,-6,52,-19
48,6,57,-16
49,-10,18,-19
50,9,20,-19
51,-41,32,-9
52,42,31,-9
53,-49,-8,39
54,55,-2,33
55,-32,-9,58
56,33,-7,57
57,-26,-25,63
58,34,-19,59
59,-13,-20,73
60,15,-22,71
61,-52,0,8
62,54,4,9
63,-49,5,30
64,51,7,30
65,-8,-38,58
66,10,-34,54
67,-4,-23,61
68,5,-21,61
69,-32,14,-34
70,31,15,-34
71,-54,-32,12
72,54,-24,11
73,-50,-11,1
74,51,-4,-1
75,-62,-33,7
76,66,-20,6
77,-45,11,-20
78,47,12,-20
79,-55,-3,-10
80,56,-12,-5
81,-65,-30,-12
82,65,-29,-13
83,-53,2,-30
84,51,6,-32
85,-59,-58,4
86,60,-53,3
87,-58,-20,-9
88,58,-16,-10
89,-45,-26,-27
90,46,-14,-33
91,-51,-57,-15
92,53,-52,-18
93,-43,-2,-41
94,40,0,-43
95,-56,-16,-28
96,55,-11,-32
97,-55,-60,-6
98,54,-57,-8
99,-59,-42,-16
100,61,-40,-17
101,-55,-31,-27
102,54,-31,-26
103,-33,-16,-32
104,33,-15,-34
105,-31,-64,-14
106,31,-62,-14
107,-42,-51,-17
108,43,-49,-19
109,-27,-7,-34
110,28,-8,-33
111,-25,-25,-26
112,26,-23,-27
113,-28,-32,-18
114,30,-30,-18
115,-19,-12,-30
116,19,-10,-30
117,-23,2,-32
118,22,1,-36
119,-17,-39,-10
120,19,-36,-11
121,-54,-40,4
122,53,-37,3
123,-52,-50,11
124,57,-40,12
125,-16,-60,63
126,19,-57,65
127,-15,-71,52
128,19,-69,54
129,-33,-47,50
130,35,-42,54
131,-22,-47,65
132,23,-43,67
133,-27,-59,54
134,31,-54,53
135,-34,-80,29
136,45,-71,20
137,-38,-61,46
138,39,-65,44
139,-51,-33,42
140,47,-35,45
141,-56,-49,38
142,57,-44,38
143,-47,-65,26
144,53,-54,25
145,-53,-31,23
146,55,-26,26
147,-5,-63,51
148,6,-65,51
149,-8,-47,57
150,7,-47,58
151,-12,-67,25
152,16,-64,25
153,-6,-55,34
154,6,-54,35
155,-50,-16,43
156,50,-14,44
157,-56,-14,16
158,56,-10,15
159,-46,-30,50
160,48,-24,48
161,-21,-35,68
162,20,-33,69
163,-36,-20,10
164,37,-18,8
165,-32,14,-13
166,33,14,-13
167,-34,18,1
168,36,18,1
169,-38,-4,-9
170,39,-2,-9
171,-38,-8,8
172,39,-7,8
173,-38,5,5
174,38,5,5
175,-4,-39,31
176,4,-37,32
177,-3,8,25
178,5,22,12
179,-6,34,21
180,5,28,27
181,-8,-47,10
182,9,-44,11
183,-5,7,37
184,4,6,38
185,-7,-23,41
186,6,-20,40
187,-4,39,-2
188,5,41,6
189,-11,-82,-11
190,10,-85,-9
191,-5,-81,10
192,7,-76,11
193,-6,-94,1
194,8,-90,12
195,-17,-60,-6
196,18,-60,-7
197,-13,-68,12
198,15,-63,12
199,-31,-89,11
200,34,-86,11
201,-46,-74,3
202,48,-70,-1
203,-18,-99,2
204,22,-97,4
205,-30,-88,-12
206,32,-85,-12
207,-11,-88,31
208,16,-85,34
209,-22,-77,36
210,29,-75,36
211,-19,-2,-20
212,19,-2,-19
213,-27,-4,-20
214,28,-3,-20
215,-22,-14,-19
216,22,-12,-20
217,-28,-30,-10
218,29,-27,-10
219,-12,14,0
220,15,14,-2
221,-22,-2,4
222,22,-2,3
223,-17,3,-9
224,15,8,-9
225,-23,7,-4
226,22,8,-1
227,-14,2,16
228,14,5,14
229,-28,-5,2
230,29,-3,1
231,-7,-12,5
232,7,-11,6
233,-18,-13,3
234,12,-14,1
235,-18,-23,4
236,18,-22,3
237,-7,-14,7
238,3,-13,5
239,-16,-24,6
240,15,-25,6
241,-15,-28,4
242,13,-27,8
243,-12,-22,13
244,10,-14,14
245,-11,-14,2
246,13,-16,7
